,着順,枠番,馬番,馬名,性齢,負担重量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重,hourse_id,体重増減,性別,race_num,race_kind,date,detail,sex,syokin,ground_type,race_distance,direction,weather,ground_condition
0,1,3,3, マテリアルワールド,牡,53.0,▲木幡育,1:55.8,,6,8.3,38.1,1-1-1-1,(美浦)中川,506,2016103463,0,3,"
2R
",３歳未勝利,2019/03/17,2回中山8日目 ３歳 ,[指定] 14頭,本賞金：500、200、130、75、50万円,ダ,1800, (右),天気：晴 , 馬場：良 
1,2,3,4, マイネルイヴィンス,牡,56.0, 柴田大,1:56.7,5,2,4.6,38.7,3-2-3-2,(美浦)高橋祥,508,2016100757,-10,3,"
2R
",３歳未勝利,2019/03/17,2回中山8日目 ３歳 ,[指定] 14頭,本賞金：500、200、130、75、50万円,ダ,1800, (右),天気：晴 , 馬場：良 
2,3,7,12, オウケンランボー,牡,56.0, 川田,1:57.1,2.1/2,3,4.8,38.9,9-9-5-6,(美浦)和田勇,502,2016101988,-12,3,"
2R
",３歳未勝利,2019/03/17,2回中山8日目 ３歳 ,[指定] 14頭,本賞金：500、200、130、75、50万円,ダ,1800, (右),天気：晴 , 馬場：良 
3,4,5,7, シンライ,牡,56.0, 田中勝,1:57.3,1,9,44.8,39.5,2-2-2-2,(美浦)菊川,470,2016103260,-4,3,"
2R
",３歳未勝利,2019/03/17,2回中山8日目 ３歳 ,[指定] 14頭,本賞金：500、200、130、75、50万円,ダ,1800, (右),天気：晴 , 馬場：良 
4,5,5,8, トラストシンゲン,牡,56.0, 大野,1:57.5,1.1/2,7,11.4,39.1,7-6-7-7,(美浦)高木,508,2016100842,+6,3,"
2R
",３歳未勝利,2019/03/17,2回中山8日目 ３歳 ,[指定] 14頭,本賞金：500、200、130、75、50万円,ダ,1800, (右),天気：晴 , 馬場：良 
5,6,6,10, キングアゲン,牡,56.0, 岩部,1:57.6,1/2,4,5.9,39.1,10-10-8-7,(美浦)萱野,504,2016102116,-4,3,"
2R
",３歳未勝利,2019/03/17,2回中山8日目 ３歳 ,[指定] 14頭,本賞金：500、200、130、75、50万円,ダ,1800, (右),天気：晴 , 馬場：良 
6,7,4,6, ロジフェーヴル,牡,56.0, 三浦,1:57.8,1,5,8.0,39.6,6-5-5-5,(美浦)萩原,466,2016104285,+8,3,"
2R
",３歳未勝利,2019/03/17,2回中山8日目 ３歳 ,[指定] 14頭,本賞金：500、200、130、75、50万円,ダ,1800, (右),天気：晴 , 馬場：良 
7,8,7,11, プリマヴェージ,牝,54.0, 松岡,1:57.9,1/2,8,41.2,40.0,3-4-3-4,(美浦)粕谷,500,2016101287,+4,3,"
2R
",３歳未勝利,2019/03/17,2回中山8日目 ３歳 ,[指定] 14頭,本賞金：500、200、130、75、50万円,ダ,1800, (右),天気：晴 , 馬場：良 
8,9,8,13, ディヴァイン,牡,56.0, 田辺,1:58.2,2,1,4.2,39.5,12-12-11-9,(美浦)小西,500,2016100032,0,3,"
2R
",３歳未勝利,2019/03/17,2回中山8日目 ３歳 ,[指定] 14頭,本賞金：500、200、130、75、50万円,ダ,1800, (右),天気：晴 , 馬場：良 
9,10,6,9, ウシェーランケー,牡,55.0,☆木幡巧,1:59.0,5,13,182.0,39.8,14-14-14-13,(美浦)上原,426,2016102262,0,3,"
2R
",３歳未勝利,2019/03/17,2回中山8日目 ３歳 ,[指定] 14頭,本賞金：500、200、130、75、50万円,ダ,1800, (右),天気：晴 , 馬場：良 
10,11,2,2, サンウォータールー,セ,56.0, 武士沢,1:59.5,3,11,71.0,40.7,12-12-12-13,(美浦)水野,472,2016102975,-4,3,"
2R
",３歳未勝利,2019/03/17,2回中山8日目 ３歳 ,[指定] 14頭,本賞金：500、200、130、75、50万円,ダ,1800, (右),天気：晴 , 馬場：良 
11,12,8,14, ノアトレジャー,牝,54.0, 嘉藤,1:59.7,1,14,246.0,40.9,10-11-12-12,(美浦)高市,404,2016101276,-6,3,"
2R
",３歳未勝利,2019/03/17,2回中山8日目 ３歳 ,[指定] 14頭,本賞金：500、200、130、75、50万円,ダ,1800, (右),天気：晴 , 馬場：良 
12,13,1,1, ミエノフォーチュン,牡,56.0, ミナリク,1:59.9,1.1/4,12,98.1,41.3,7-6-8-10,(美浦)国枝,542,2016106014,0,3,"
2R
",３歳未勝利,2019/03/17,2回中山8日目 ３歳 ,[指定] 14頭,本賞金：500、200、130、75、50万円,ダ,1800, (右),天気：晴 , 馬場：良 
13,14,4,5, メダリスタ,牡,54.0,△野中,2:01.1,7,10,66.4,42.6,5-6-8-10,(美浦)大江原,528,2016100009,0,3,"
2R
",３歳未勝利,2019/03/17,2回中山8日目 ３歳 ,[指定] 14頭,本賞金：500、200、130、75、50万円,ダ,1800, (右),天気：晴 , 馬場：良 
